Student,LPIPS,SSIM
109AB0032.jpg,0.41916579008102417,0.7407662371398128
1092B0020.jpg,0.4200265407562256,0.7398037475254889
109300219.jpg,0.4680953025817871,0.7060551717786069
109590029.jpg,0.4781593084335327,0.7093303288791448
1082B0005.jpg,0.5092392563819885,0.7102227755500872
112598006.jpg,0.5101207494735718,0.7205073303962483
109590018.jpg,0.5311161279678345,0.7113304241365701
109590028.jpg,0.5427047610282898,0.6970452274328812
